Dataset,SVM,adaboost,bagging,decision_tree,extratree,gaussian_nb,knn,qda,randomforest,stack,voting,xgboost
heart-va,0.2875,0.23125,0.2875,0.25625,0.2875,0.2125,0.34375,0.29375,0.275,0.3,0.31875,0.2625
hepatitis,0.865384615384615,0.820512820512821,0.801282051282051,0.769230769230769,0.833333333333333,0.794871794871795,0.852564102564103,0.83974358974359,0.826923076923077,0.769230769230769,0.814102564102564,0.826923076923077
horse-colic,0.841911764705882,0.834558823529412,0.860294117647059,0.830882352941177,0.838235294117647,0.727941176470588,0.775735294117647,0.8125,0.871323529411765,0.856617647058824,0.838235294117647,0.724264705882353
ionosphere,0.934659090909091,0.926136363636364,0.931818181818182,0.886363636363636,0.917613636363636,0.909090909090909,0.914772727272727,0.911931818181818,0.926136363636364,0.923295454545455,0.934659090909091,0.931818181818182
libras,0.885416666666667,0.611111111111111,0.809027777777778,0.534722222222222,0.833333333333333,0.628472222222222,0.833333333333333,0.875,0.798611111111111,0.732638888888889,0.777777777777778,0.684027777777778
molec-biol-promoter,0.836538461538462,0.855769230769231,0.865384615384615,0.788461538461538,0.846153846153846,0.903846153846154,0.798076923076923,0.567307692307692,0.836538461538461,0.855769230769231,0.826923076923077,0.807692307692308
oocytes_merluccius_nucleus_4d,0.830392156862745,0.774509803921569,0.786274509803922,0.735294117647059,0.779411764705882,0.602941176470588,0.734313725490196,0.71764705882353,0.773529411764706,0.774509803921569,0.772549019607843,0.774509803921569
oocytes_merluccius_states_2f,0.916666666666667,0.858823529411765,0.909803921568627,0.882352941176471,0.909803921568628,0.840196078431373,0.894117647058823,0.883333333333333,0.905882352941176,0.908823529411765,0.901960784313726,0.900980392156863
oocytes_trisopterus_nucleus_2f,0.830043859649123,0.783991228070175,0.791666666666667,0.736842105263158,0.81140350877193,0.539473684210526,0.734649122807018,0.734649122807018,0.788377192982456,0.801535087719298,0.798245614035088,0.777412280701754
oocytes_trisopterus_states_5b,0.939890710382514,0.814207650273224,0.898907103825137,0.881147540983607,0.903005464480874,0.760928961748634,0.889344262295082,0.879781420765027,0.898907103825137,0.922131147540984,0.927595628415301,0.905737704918033
parkinsons,0.913265306122449,0.877551020408163,0.872448979591837,0.801020408163265,0.88265306122449,0.678571428571428,0.913265306122449,0.801020408163265,0.892857142857143,0.821428571428571,0.86734693877551,0.88265306122449
planning,0.711111111111111,0.666666666666667,0.661111111111111,0.661111111111111,0.7,0.611111111111111,0.688888888888889,0.688888888888889,0.672222222222222,0.683333333333333,0.627777777777778,0.683333333333333
primary-tumor,0.420454545454545,0.303030303030303,0.424242424242424,0.409090909090909,0.454545454545455,0.234848484848485,0.424242424242424,0.325757575757576,0.450757575757576,0.481060606060606,0.446969696969697,0.458333333333333
spectf,0.919786096256685,0.919786096256685,0.919786096256685,0.918449197860963,0.919786096256685,0.919786096256685,0.919786096256685,0.871657754010695,0.919786096256685,0.919786096256685,0.919786096256685,0.919786096256685
statlog-australian-credit,0.681686046511628,0.686046511627907,0.674418604651163,0.670058139534884,0.671511627906977,0.566860465116279,0.677325581395349,0.683139534883721,0.670058139534884,0.674418604651163,0.670058139534884,0.677325581395349
statlog-german-credit,0.739,0.736,0.755,0.717,0.754,0.737,0.732,0.778,0.774,0.744,0.765,0.758
statlog-heart,0.828358208955224,0.843283582089552,0.809701492537313,0.83955223880597,0.850746268656716,0.880597014925373,0.858208955223881,0.880597014925373,0.843283582089552,0.832089552238806,0.873134328358209,0.832089552238806
statlog-image,0.961438474870017,0.866984402079723,0.974436741767764,0.951473136915078,0.977469670710572,0.80892547660312,0.957105719237435,0.8921143847487,0.975736568457539,0.964471403812825,0.962305025996534,0.971837088388215
statlog-vehicle,0.804502369668247,0.64218009478673,0.75,0.693127962085308,0.744075829383886,0.453791469194313,0.686018957345972,0.835308056872038,0.731042654028436,0.772511848341232,0.757109004739337,0.746445497630332
